pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Total_amount,Payment_type,Trip_type,Pickup_longitude,Pickup_latitude,Dropoff_longitude,vendorid,Improvement_surcharge
01/27/2015 07:30:40 PM,01/27/2015 07:47:34 PM,N,1,40.842723846435547,1,1.67,11.5,1,0.5,0,0,,13.3,2,1,-73.920158386230469,40.835315704345703,-73.914695739746094,2,0.3
01/09/2015 03:45:22 PM,01/09/2015 03:54:32 PM,N,1,40.679828643798828,3,1.15,7.5,0,0.5,1.5,0,,9.8,1,1,-73.985671997070313,40.669933319091797,-73.998367309570312,2,0.3
01/16/2015 10:07:38 PM,01/16/2015 10:14:25 PM,N,1,40.736202239990234,1,1.74,7.5,0.5,0.5,0,0,,8.8,2,1,-73.892570495605469,40.746658325195313,-73.909294128417969,2,0.3
01/13/2015 06:57:29 PM,01/13/2015 07:04:57 PM,N,1,40.748817443847656,5,1.17,7,1,0.5,0,0,,8.8,2,1,-73.868934631347656,40.733760833740234,-73.86920166015625,2,0.3
01/11/2015 08:37:20 PM,01/11/2015 08:46:10 PM,N,1,40.825370788574219,1,1.42,7.5,0.5,0.5,1.76,0,,10.56,1,1,-73.918258666992187,40.815742492675781,-73.925987243652344,2,0.3
01/11/2015 08:37:20 PM,01/11/2015 08:46:10 PM,N,1,40.825370788574219,1,1.42,7.5,0.5,0.5,1.76,0,,10.56,1,1,-73.918258666992187,40.815742492675781,-73.925987243652344,2,0.3
01/21/2015 02:04:33 AM,01/21/2015 02:10:26 AM,N,1,40.726161956787109,1,0.68,6,0.5,0.5,0,0,,7.3,2,1,-73.950813293457031,40.723941802978516,-73.938545227050781,2,0.3
01/05/2015 12:58:10 PM,01/05/2015 01:04:51 PM,N,1,40.806556701660156,1,1.29,6.5,0,0.5,0,0,,7.3,2,1,-73.944419860839844,40.807327270507813,-73.960868835449219,2,0.3
